timestamp,ticker,timeframe,actual_tf,score,bias,regime,htf,btc,confidence,entry_price_idr
2026-06-29 08:15:09,SOL,1H,1H,2,BULLISH,TRENDING_UP,neutral,bullish,B — Moderate conviction,1303895.0
2026-06-29 08:15:09,SUI,1H,1H,1,BULLISH,TRENDING_UP,bearish,bullish,C — Low conviction,12465.0
2026-06-29 08:15:09,SYN,1H,1H,3,BULLISH,NEUTRAL,bullish,bullish,B — Moderate conviction,7040.0
2026-06-29 08:15:11,TON,1H,1H,5,BULLISH,NEUTRAL,bearish,bullish,C — Low conviction,28514.0
2026-06-29 08:15:11,TRX,1H,1H,-2,BEARISH,SQUEEZE,bearish,bullish,D — Very low conviction,5797.0
2026-06-29 08:15:11,UNI,1H,1H,5,BULLISH,RANGING,bullish,bullish,B — Moderate conviction,53269.0
2026-06-29 08:15:13,VVV,1H,1H,-3,BEARISH,TRENDING_DOWN,bearish,bullish,C — Low conviction,230300.0
2026-06-29 08:15:13,XRP,1H,1H,1,BULLISH,SQUEEZE,bearish,bullish,D — Very low conviction,18832.0
2026-06-29 08:43:34,BTC,1H,1H,1,BULLISH,SQUEEZE,bearish,N/A,D — Very low conviction,1076578000.0
2026-06-29 12:53:43,ADA,1H,1H,1,BULLISH,RANGING,bearish,neutral,D — Very low conviction,2589.0
472.0
2026-06-29 12:53:45,DOT,1H,1H,1,BULLISH,NEUTRAL,bearish,neutral,D — Very low conviction,14830.0
2026-06-29 12:53:45,BTC,1H,1H,1,BULLISH,SQUEEZE,bearish,N/A,D — Very low conviction,1075000000.0
2026-06-29 12:53:45,BNB,1H,1H,1,BULLISH,SQUEEZE,bearish,neutral,D — Very low conviction,9981914.0
2026-06-29 12:53:45,DOGE,1H,1H,-2,BEARISH,SQUEEZE,bearish,neutral,D — Very low conviction,1310.0
2026-06-29 12:53:48,HYPE,1H,1H,2,BULLISH,TRENDING_UP,bearish,neutral,C — Low conviction,1139003.0
2026-06-29 12:53:48,ETH,1H,1H,-6,BEARISH,SQUEEZE,bearish,neutral,D — Very low conviction,28253000.0
2026-06-29 12:53:48,GWEI,1H,1H,3,BULLISH,TRENDING_UP,bullish,neutral,A — High conviction,4100.0
2026-06-29 12:53:48,LINK,1H,1H,2,BULLISH,TRENDING_UP,bearish,neutral,C — Low conviction,132074.0
2026-06-29 12:53:50,NEAR,1H,1H,1,BULLISH,RANGING,bearish,neutral,D — Very low conviction,33317.0
2026-06-29 12:53:50,LTC,1H,1H,-2,BEARISH,TRENDING_DOWN,neutral,neutral,C — Low conviction,765000.0
2026-06-29 12:53:51,OP,1H,1H,1,BULLISH,RANGING,bearish,neutral,D — Very low conviction,1825.0
2026-06-29 12:53:51,PENGU,1H,1H,2,BULLISH,TRENDING_UP,bearish,neutral,C — Low conviction,110.7
2026-06-29 12:53:53,PEPE,1H,1H,-3,BEARISH,SQUEEZE,bearish,neutral,D — Very low conviction,0.042243
2026-06-29 12:53:53,PUMP,1H,1H,-6,BEARISH,TRENDING_DOWN,bearish,neutral,D — Very low conviction,25.107
2026-06-29 12:53:54,SHIB,1H,1H,3,BULLISH,TRENDING_UP,bearish,neutral,C — Low conviction,0.076088
2026-06-29 12:53:55,SOL,1H,1H,4,BULLISH,TRENDING_UP,neutral,neutral,A — High conviction,1312302.0
2026-06-29 12:53:55,SUI,1H,1H,1,BULLISH,RANGING,bearish,neutral,D — Very low conviction,12410.0
2026-06-29 12:53:55,SYN,1H,1H,4,BULLISH,TRENDING_UP,bullish,neutral,A — High conviction,7445.0
2026-06-29 12:53:57,TON,1H,1H,4,BULLISH,TRENDING_UP,neutral,neutral,A — High conviction,28628.0
2026-06-29 12:53:57,TRX,1H,1H,-5,BEARISH,SQUEEZE,bearish,neutral,D — Very low conviction,5765.0
2026-06-29 12:53:58,UNI,1H,1H,-1,BEARISH,NEUTRAL,neutral,neutral,C — Low conviction,52517.0
2026-06-29 12:53:58,XRP,1H,1H,1,BULLISH,SQUEEZE,bearish,neutral,D — Very low conviction,18918.0
2026-06-29 13:48:07,AERO,1H,1H,-3,BEARISH,TRENDING_DOWN,neutral,bearish,C — Low conviction,8400.0
2026-06-29 13:48:07,ATOM,1H,1H,-4,BEARISH,SQUEEZE,bearish,bearish,D — Very low conviction,27900.0
2026-06-29 13:48:07,ARB,1H,1H,0,NEUTRAL,NEUTRAL,bearish,bearish,C — Low conviction,1348.0
2026-06-29 13:48:09,AVAX,1H,1H,0,NEUTRAL,TRENDING_UP,neutral,bearish,B — Moderate conviction,117475.0
2026-06-29 13:48:09,BTC,1H,1H,-6,BEARISH,SQUEEZE,bearish,N/A,D — Very low conviction,1069001000.0
2026-06-29 13:48:09,BNB,1H,1H,-3,BEARISH,SQUEEZE,bearish,bearish,D — Very low conviction,9920764.0
2026-06-29 13:48:10,DOGE,1H,1H,-4,BEARISH,SQUEEZE,bearish,bearish,D — Very low conviction,1302.0
2026-06-29 13:48:12,DOT,1H,1H,-1,BEARISH,RANGING,bearish,bearish,C — Low conviction,14688.0
2026-06-29 13:48:12,ETH,1H,1H,-10,BEARISH,SQUEEZE,bearish,bearish,D — Very low conviction,28223000.0
2026-06-29 13:48:12,ENA,1H,1H,0,NEUTRAL,TRENDING_UP,bearish,bearish,B — Moderate conviction,1461.0
2026-06-29 13:48:12,GWEI,1H,1H,1,BULLISH,TRENDING_UP,bullish,bearish,B — Moderate conviction,4100.0
2026-06-29 13:48:14,LTC,1H,1H,-2,BEARISH,TRENDING_DOWN,neutral,bearish,C — Low conviction,767000.0
2026-06-29 13:48:14,HYPE,1H,1H,-1,BEARISH,TRENDING_UP,bearish,bearish,B — Moderate conviction,1138583.0
2026-06-29 13:48:14,LINK,1H,1H,0,NEUTRAL,TRENDING_UP,bearish,bearish,B — Moderate conviction,130975.0
2026-06-29 13:48:14,NEAR,1H,1H,-1,BEARISH,RANGING,bearish,bearish,C — Low conviction,33182.0
2026-06-29 13:48:16,OP,1H,1H,-1,BEARISH,RANGING,bearish,bearish,C — Low conviction,1825.0
2026-06-29 13:48:16,PEPE,1H,1H,-5,BEARISH,SQUEEZE,bearish,bearish,D — Very low conviction,0.041967
2026-06-29 13:48:16,PENGU,1H,1H,0,NEUTRAL,TRENDING_UP,bearish,bearish,B — Moderate conviction,111.058
2026-06-29 13:48:18,PUMP,1H,1H,-6,BEARISH,TRENDING_DOWN,bearish,bearish,D — Very low conviction,25.1
2026-06-29 13:48:20,SHIB,1H,1H,1,BULLISH,TRENDING_UP,bearish,bearish,C — Low conviction,0.076323
2026-06-29 13:48:20,SUI,1H,1H,0,NEUTRAL,RANGING,bearish,bearish,C — Low conviction,12380.0
2026-06-29 13:48:20,SOL,1H,1H,0,NEUTRAL,TRENDING_UP,neutral,bearish,B — Moderate conviction,1315549.0
2026-06-29 13:48:20,SYN,1H,1H,4,BULLISH,TRENDING_UP,bullish,bearish,A — High conviction,7382.0
2026-06-29 13:48:22,TRX,1H,1H,0,NEUTRAL,SQUEEZE,bearish,bearish,C — Low conviction,5818.0
2026-06-29 13:48:22,TON,1H,1H,-4,BEARISH,RANGING,bearish,bearish,C — Low conviction,27507.0
2026-06-29 13:48:23,UNI,1H,1H,2,BULLISH,RANGING,bullish,bearish,B — Moderate conviction,52919.0
2026-06-29 13:48:23,XRP,1H,1H,-2,BEARISH,SQUEEZE,bearish,bearish,D — Very low conviction,18788.0
2026-06-29 16:47:48,AAVE,1H,1H,-3,BEARISH,TRENDING_DOWN,bullish,neutral,C — Low conviction,1635923.48
2026-06-29 16:47:48,ARB,1H,1H,2,BULLISH,NEUTRAL,bearish,neutral,D — Very low conviction,1365.8088
2026-06-29 16:47:48,ADA,1H,1H,1,BULLISH,NEUTRAL,bearish,neutral,D — Very low conviction,2609.7344000000003
2026-06-29 16:48:02,BTC,1H,1H,2,BULLISH,SQUEEZE,bearish,N/A,D — Very low conviction,1073764285.24
2026-06-29 16:48:02,BNB,1H,1H,1,BULLISH,SQUEEZE,bearish,neutral,D — Very low conviction,9927386.64
2026-06-29 16:48:03,AVAX,1H,1H,6,BULLISH,TRENDING_UP,neutral,neutral,A — High conviction,119821.93999999999
2026-06-29 16:48:03,DOGE,1H,1H,-5,BEARISH,SQUEEZE,bearish,neutral,D — Very low conviction,1303.79176
2026-06-29 16:48:16,LINK,1H,1H,1,BULLISH,SQUEEZE,bearish,neutral,D — Very low conviction,131526.312
2026-06-29 16:48:17,ENA,1H,1H,-2,BEARISH,TRENDING_UP,bearish,neutral,C — Low conviction,1417.7884000000001
2026-06-29 16:48:17,ETH,1H,1H,2,BULLISH,SQUEEZE,bearish,neutral,D — Very low conviction,28420832.12
2026-06-29 16:48:17,DOT,1H,1H,1,BULLISH,NEUTRAL,bearish,neutral,D — Very low conviction,14787.3
2026-06-29 16:48:30,ONDO,1H,1H,1,BULLISH,NEUTRAL,bearish,neutral,D — Very low conviction,5622.7588
2026-06-29 16:48:31,OP,1H,1H,2,BULLISH,NEUTRAL,bearish,neutral,D — Very low conviction,1840.7948
2026-06-29 16:48:31,NEAR,1H,1H,3,BULLISH,RANGING,bearish,neutral,D — Very low conviction,33374.488000000005
2026-06-29 16:48:31,LTC,1H,1H,2,BULLISH,RANGING,neutral,neutral,B — Moderate conviction,764458.6
2026-06-29 16:48:43,PENGU,1H,1H,2,BULLISH,TRENDING_UP,bearish,neutral,C — Low conviction,111.433508
2026-06-29 16:48:44,S,1H,1H,2,BULLISH,TRENDING_UP,neutral,neutral,B — Moderate conviction,457.59972
2026-06-29 16:48:45,RE,1H,1H,4,BULLISH,TRENDING_UP,unknown,neutral,B — Moderate conviction,13684.973999999998
2026-06-29 16:48:55,SUI,1H,1H,1,BULLISH,NEUTRAL,bearish,neutral,D — Very low conviction,12475.104
2026-06-29 16:48:55,SHIB,1H,1H,2,BULLISH,TRENDING_UP,bearish,neutral,C — Low conviction,0.07599776
2026-06-29 16:48:57,SYN,1H,1H,4,BULLISH,TRENDING_UP,bullish,neutral,A — High conviction,7666.094800000001
2026-06-29 16:48:58,SOL,1H,1H,3,BULLISH,TRENDING_UP,neutral,neutral,B — Moderate conviction,1327451.44
2026-06-29 16:49:07,TAO,1H,1H,-5,BEARISH,TRENDING_DOWN,bearish,neutral,C — Low conviction,3676212.4
2026-06-29 16:49:08,TON,1H,1H,6,BULLISH,SQUEEZE,neutral,neutral,B — Moderate conviction,28947.26
2026-06-29 16:49:10,TRX,1H,1H,1,BULLISH,SQUEEZE,bearish,neutral,D — Very low conviction,5789.452
2026-06-29 16:49:10,UNI,1H,1H,4,BULLISH,NEUTRAL,bullish,neutral,A — High conviction,53126.736
2026-06-29 16:49:19,XRP,1H,1H,1,BULLISH,SQUEEZE,bearish,neutral,D — Very low conviction,18859.6328
2026-06-29 16:49:19,USD1,1H,1H,-1,BEARISH,SQUEEZE,neutral,neutral,D — Very low conviction,17929.01872
2026-06-29 16:49:21,ZEC,1H,1H,1,BULLISH,TRENDING_UP,bearish,neutral,C — Low conviction,6980681.04
2026-06-30 02:55:25,AVAX,1H,1H,1,BULLISH,RANGING,neutral,neutral,C — Low conviction,119519.73
6.88
2026-06-30 02:55:25,ADA,1H,1H,-7,BEARISH,TRENDING_DOWN,bearish,neutral,D — Very low conviction,2592.8793
2026-06-30 02:55:25,ARB,1H,1H,1,BULLISH,NEUTRAL,bearish,neutral,D — Very low conviction,1369.0115999999998
2026-06-30 02:56:07,DOT,1H,1H,-2,BEARISH,NEUTRAL,bearish,neutral,C — Low conviction,14675.660999999998
2026-06-30 02:56:08,DOGE,1H,1H,-6,BEARISH,TRENDING_DOWN,bearish,neutral,D — Very low conviction,1302.7113
2026-06-30 02:56:08,BTC,1H,1H,1,BULLISH,SQUEEZE,bearish,N/A,D — Very low conviction,1075697639.28
2026-06-30 02:56:08,BNB,1H,1H,-3,BEARISH,NEUTRAL,bearish,neutral,C — Low conviction,9986617.08
2026-06-30 02:56:53,LTC,1H,1H,-3,BEARISH,NEUTRAL,bearish,neutral,C — Low conviction,764603.73
2026-06-30 02:56:53,LINK,1H,1H,-2,BEARISH,NEUTRAL,bearish,neutral,C — Low conviction,131005.809
2026-06-30 02:56:53,ETH,1H,1H,-3,BEARISH,NEUTRAL,bearish,neutral,C — Low conviction,28535111.55
2026-06-30 02:56:53,NEAR,1H,1H,-5,BEARISH,TRENDING_DOWN,bearish,neutral,C — Low conviction,33006.798
2026-06-30 02:57:32,PENGU,1H,1H,-2,BEARISH,NEUTRAL,bearish,neutral,C — Low conviction,110.864853
999999999
2026-06-30 02:57:32,PEPE,1H,1H,-6,BEARISH,TRENDING_DOWN,bearish,neutral,D — Very low conviction,0.04210965
2026-06-30 02:57:32,RE,1H,1H,-2,BEARISH,RANGING,unknown,neutral,D — Very low conviction,13295.898
2026-06-30 02:58:06,SOL,1H,1H,0,NEUTRAL,NEUTRAL,bullish,neutral,C — Low conviction,1337653.35
2026-06-30 02:58:07,SHIB,1H,1H,2,BULLISH,NEUTRAL,bearish,neutral,D — Very low conviction,0.07633494
2026-06-30 02:58:07,SYN,1H,1H,3,BULLISH,TRENDING_UP,bullish,neutral,A — High conviction,8881.55235
2026-06-30 02:58:07,SUI,1H,1H,1,BULLISH,NEUTRAL,bearish,neutral,D — Very low conviction,12457.2888
2026-06-30 02:58:48,USD1,1H,1H,1,BULLISH,SQUEEZE,neutral,neutral,C — Low conviction,17925.09246
2026-06-30 02:58:48,TRX,1H,1H,-5,BEARISH,SQUEEZE,bearish,neutral,D — Very low conviction,5735.8719
2026-06-30 02:58:48,UNI,1H,1H,-4,BEARISH,TRENDING_DOWN,neutral,neutral,C — Low conviction,51660.477
2026-06-30 02:58:48,TON,1H,1H,-1,BEARISH,SQUEEZE,neutral,neutral,D — Very low conviction,28688.319
2026-06-30 02:59:21,ZEC,1H,1H,1,BULLISH,RANGING,bearish,neutral,D — Very low conviction,7184981.430000001
2026-06-30 02:59:21,XRP,1H,1H,-2,BEARISH,NEUTRAL,bearish,neutral,C — Low conviction,18823.9095
2026-06-30 03:00:14,SHIB,4H,4H,1,BULLISH,NEUTRAL,bearish,neutral,D — Very low conviction,0.07616
2026-06-30 16:42:03,BTC,4H,4H,0,NEUTRAL,TRENDING_DOWN,bearish,N/A,D — Very low conviction,1047615255.38
2026-07-01 05:02:02,ARB,1H,1H,3,BULLISH,TRENDING_UP,neutral,bullish,B — Moderate conviction,1399.863
000000001
2026-07-01 05:02:16,BTC,1H,1H,3,BULLISH,SQUEEZE,bearish,N/A,D — Very low conviction,1065836819.7
2026-07-01 05:02:17,DOGE,1H,1H,3,BULLISH,TRENDING_UP,bearish,bullish,C — Low conviction,1304.2626
2026-07-01 05:02:17,BNB,1H,1H,3,BULLISH,SQUEEZE,bearish,bullish,D — Very low conviction,9903087.3
2026-07-01 05:02:17,DOT,1H,1H,1,BULLISH,TRENDING_UP,bearish,bullish,C — Low conviction,15094.8
2026-07-01 05:02:31,HYPER,1H,1H,-3,BEARISH,TRENDING_DOWN,bearish,bullish,C — Low conviction,1396.269
2026-07-01 05:02:31,ETH,1H,1H,2,BULLISH,TRENDING_UP,bearish,bullish,C — Low conviction,28742835.3
2026-07-01 05:02:31,JUP,1H,1H,-1,BEARISH,TRENDING_UP,bullish,bullish,C — Low conviction,4018.092
2026-07-01 05:02:31,DYDX,1H,1H,3,BULLISH,TRENDING_UP,bullish,bullish,A — High conviction,4267.1562
2026-07-01 05:02:47,NEAR,1H,1H,2,BULLISH,TRENDING_UP,bearish,bullish,C — Low conviction,33046.83
2026-07-01 05:02:49,LINK,1H,1H,1,BULLISH,TRENDING_UP,bearish,bullish,C — Low conviction,131360.69999999998
2026-07-01 05:02:49,LTC,1H,1H,4,BULLISH,TRENDING_UP,neutral,bullish,A — High conviction,770553.6000000001
2026-07-01 05:02:49,OP,1H,1H,0,NEUTRAL,NEUTRAL,bearish,bullish,C — Low conviction,1741.293
2026-07-01 05:03:02,PENGU,1H,1H,2,BULLISH,TRENDING_UP,neutral,bullish,B — Moderate conviction,112.79768999999999
2026-07-01 05:03:02,SHIB,1H,1H,1,BULLISH,SQUEEZE,bearish,bullish,D — Very low conviction,0.0763725
2026-07-01 05:03:03,SOL,1H,1H,0,NEUTRAL,TRENDING_UP,bullish,bullish,B — Moderate conviction,1358172.5999999999
2026-07-01 05:03:04,PEPE,1H,1H,0,NEUTRAL,SQUEEZE,bearish,bullish,C — Low conviction,0.042229499999999996
2026-07-01 05:03:16,SUI,1H,1H,2,BULLISH,TRENDING_UP,neutral,bullish,B — Moderate conviction,12679.632
2026-07-01 05:03:17,TAO,1H,1H,1,BULLISH,SQUEEZE,bearish,bullish,D — Very low conviction,3660489.0
2026-07-01 05:03:17,TRX,1H,1H,1,BULLISH,SQUEEZE,bearish,bullish,D — Very low conviction,5696.49
2026-07-01 05:03:18,UNI,1H,1H,3,BULLISH,TRENDING_UP,bearish,bullish,C — Low conviction,51142.62
2026-07-01 05:03:33,ZEC,1H,1H,1,BULLISH,TRENDING_UP,bearish,bullish,C — Low conviction,7355300.7
2026-07-01 05:03:33,XRP,1H,1H,1,BULLISH,SQUEEZE,bearish,bullish,D — Very low conviction,18906.237
2026-07-01 05:03:33,XLM,1H,1H,3,BULLISH,TRENDING_UP,neutral,bullish,B — Moderate conviction,3579.624
2026-07-01 05:03:33,USD1,1H,1H,1,BULLISH,SQUEEZE,neutral,bullish,C — Low conviction,17977.188
2026-07-01 05:25:46,TLKM,1H,1H,1,BULLISH,RANGING,bearish,N/A,D — Very low conviction,2400.0
2026-07-01 05:25:46,BBRI,1H,1H,-5,BEARISH,TRENDING_DOWN,bearish,N/A,C — Low conviction,2680.0
2026-07-01 05:25:46,BMRI,1H,1H,-6,BEARISH,TRENDING_DOWN,bearish,N/A,D — Very low conviction,3830.0
2026-07-01 05:25:46,BBCA,1H,1H,-6,BEARISH,TRENDING_DOWN,bearish,N/A,D — Very low conviction,5675.0
2026-07-01 05:25:48,ASII,1H,1H,-2,BEARISH,RANGING,bearish,N/A,C — Low conviction,4610.0
2026-07-01 05:25:48,ADRO,1H,1H,1,BULLISH,SQUEEZE,neutral,N/A,C — Low conviction,2270.0
2026-07-01 05:25:48,GOTO,1H,1H,0,NEUTRAL,RANGING,bearish,N/A,C — Low conviction,50.0
2026-07-01 05:25:48,UNVR,1H,1H,3,BULLISH,TRENDING_UP,bullish,N/A,A — High conviction,1805.0
2026-07-01 05:25:50,TOWR,1H,1H,-4,BEARISH,TRENDING_DOWN,bearish,N/A,C — Low conviction,360.0
2026-07-01 05:25:50,BSDE,1H,1H,-5,BEARISH,TRENDING_DOWN,bearish,N/A,C — Low conviction,540.0
2026-07-01 05:25:50,CTRA,1H,1H,-7,BEARISH,TRENDING_DOWN,bearish,N/A,D — Very low conviction,555.0
2026-07-01 05:25:50,SMRA,1H,1H,-5,BEARISH,RANGING,bearish,N/A,D — Very low conviction,270.0
2026-07-01 05:25:53,ARTO,1H,1H,1,BULLISH,TRENDING_UP,bearish,N/A,C — Low conviction,925.0
2026-07-01 05:25:53,BTPS,1H,1H,-3,BEARISH,TRENDING_DOWN,neutral,N/A,C — Low conviction,960.0
2026-07-01 05:25:53,BRIS,1H,1H,-4,BEARISH,RANGING,bearish,N/A,C — Low conviction,1675.0
2026-07-01 05:25:53,BBNI,1H,1H,-6,BEARISH,TRENDING_DOWN,bearish,N/A,D — Very low conviction,3110.0
2026-07-01 05:25:55,PGAS,1H,1H,0,NEUTRAL,TRENDING_DOWN,bearish,N/A,D — Very low conviction,1370.0
2026-07-01 05:25:55,PNBN,1H,1H,0,NEUTRAL,TRENDING_DOWN,neutral,N/A,B — Moderate conviction,885.0
2026-07-01 05:25:55,INCO,1H,1H,1,BULLISH,NEUTRAL,bearish,N/A,D — Very low conviction,4410.0
2026-07-01 05:25:55,PTBA,1H,1H,0,NEUTRAL,TRENDING_DOWN,bearish,N/A,D — Very low conviction,2280.0
2026-07-01 05:25:57,MDKA,1H,1H,-6,BEARISH,TRENDING_DOWN,bearish,N/A,D — Very low conviction,2520.0
2026-07-01 05:25:57,BUMI,1H,1H,-6,BEARISH,TRENDING_DOWN,bearish,N/A,D — Very low conviction,135.0
2026-07-01 05:25:57,INDF,1H,1H,-3,BEARISH,RANGING,neutral,N/A,C — Low conviction,6625.0
2026-07-01 05:25:57,ICBP,1H,1H,4,BULLISH,TRENDING_UP,bullish,N/A,A — High conviction,6775.0
2026-07-01 05:25:59,MYOR,1H,1H,-3,BEARISH,TRENDING_DOWN,neutral,N/A,C — Low conviction,1795.0
2026-07-01 05:25:59,KLBF,1H,1H,-4,BEARISH,NEUTRAL,bullish,N/A,D — Very low conviction,770.0
2026-07-01 05:25:59,SIDO,1H,1H,0,NEUTRAL,TRENDING_DOWN,bearish,N/A,B — Moderate conviction,364.0
2026-07-01 05:26:00,CPIN,1H,1H,0,NEUTRAL,TRENDING_UP,bearish,N/A,B — Moderate conviction,3200.0
2026-07-01 05:26:01,AALI,1H,1H,0,NEUTRAL,NEUTRAL,bearish,N/A,C — Low conviction,6000.0
2026-07-01 05:26:01,LSIP,1H,1H,0,NEUTRAL,TRENDING_DOWN,bearish,N/A,D — Very low conviction,1275.0
2026-07-01 05:26:02,JPFA,1H,1H,0,NEUTRAL,TRENDING_UP,neutral,N/A,B — Moderate conviction,2000.0
2026-07-01 05:26:02,EXCL,1H,1H,-4,BEARISH,RANGING,bearish,N/A,C — Low conviction,2360.0
2026-07-01 05:26:04,ISAT,1H,1H,2,BULLISH,TRENDING_UP,neutral,N/A,B — Moderate conviction,1785.0
2026-07-01 05:26:04,MTEL,1H,1H,-1,BEARISH,TRENDING_UP,neutral,N/A,C — Low conviction,498.0
2026-07-01 05:26:04,PWON,1H,1H,-5,BEARISH,TRENDING_DOWN,bearish,N/A,C — Low conviction,240.0
2026-07-01 05:26:04,BKSL,1H,1H,-3,BEARISH,TRENDING_DOWN,bearish,N/A,C — Low conviction,58.0
2026-07-01 05:26:06,JSMR,1H,1H,-5,BEARISH,TRENDING_DOWN,neutral,N/A,D — Very low conviction,2710.0
2026-07-01 05:26:06,INTP,1H,1H,3,BULLISH,SQUEEZE,neutral,N/A,C — Low conviction,4160.0
2026-07-01 05:26:06,WSKT,1H,1H,1,BULLISH,RANGING,neutral,N/A,C — Low conviction,202.0
2026-07-01 05:26:06,SMGR,1H,1H,-5,BEARISH,TRENDING_DOWN,bearish,N/A,C — Low conviction,1415.0
2026-07-01 05:26:08,ANTM,1H,1H,0,NEUTRAL,TRENDING_DOWN,bearish,N/A,B — Moderate conviction,2620.0
2026-07-01 05:26:08,PTPP,1H,1H,0,NEUTRAL,TRENDING_DOWN,bearish,N/A,D — Very low conviction,175.0
2026-07-01 05:27:55,BTC,4H,4H,0,NEUTRAL,NEUTRAL,bearish,N/A,C — Low conviction,1064688756.6
2026-07-01 05:37:12,BTC,1H,1H,1,BULLISH,SQUEEZE,bearish,N/A,D — Very low conviction,1063971732.0
2026-07-01 13:59:34,AAVE,1H,1H,2,BULLISH,NEUTRAL,bullish,neutral,B — Moderate conviction,1559638.08
2026-07-01 13:59:34,ARB,1H,1H,3,BULLISH,RANGING,neutral,neutral,C — Low conviction,1394.5932
2026-07-01 13:59:34,ATOM,1H,1H,1,BULLISH,SQUEEZE,bearish,neutral,D — Very low conviction,27387.36
2026-07-01 13:59:34,ADA,1H,1H,0,NEUTRAL,TRENDING_UP,neutral,neutral,B — Moderate conviction,2762.1594
2026-07-01 13:59:53,CELO,1H,1H,3,BULLISH,TRENDING_UP,neutral,neutral,B — Moderate conviction,1211.16996
2026-07-01 13:59:53,BTC,1H,1H,-2,BEARISH,SQUEEZE,bearish,N/A,D — Very low conviction,1071277847.6400001
2026-07-01 13:59:54,BNB,1H,1H,1,BULLISH,SQUEEZE,bearish,neutral,D — Very low conviction,9890440.559999999
2026-07-01 13:59:54,AVAX,1H,1H,0,NEUTRAL,RANGING,neutral,neutral,C — Low conviction,119657.538
2026-07-01 14:00:10,ETH,1H,1H,4,BULLISH,SQUEEZE,bearish,neutral,D — Very low conviction,28784475.72
2026-07-01 14:00:10,DOGE,1H,1H,2,BULLISH,RANGING,bearish,neutral,D — Very low conviction,1304.86356
2026-07-01 14:00:10,DOT,1H,1H,3,BULLISH,RANGING,bearish,neutral,D — Very low conviction,15153.137999999999
2026-07-01 14:00:11,JUP,1H,1H,0,NEUTRAL,TRENDING_UP,bullish,neutral,B — Moderate conviction,4309.9056
2026-07-01 14:00:23,LTC,1H,1H,-6,BEARISH,TRENDING_DOWN,bearish,neutral,D — Very low conviction,753512.76
2026-07-01 14:00:24,NEAR,1H,1H,1,BULLISH,RANGING,bearish,neutral,D — Very low conviction,32648.616
2026-07-01 14:00:26,LINK,1H,1H,1,BULLISH,SQUEEZE,bearish,neutral,D — Very low conviction,131585.454
2026-07-01 14:00:26,MORPHO,1H,1H,0,NEUTRAL,TRENDING_UP,bullish,neutral,B — Moderate conviction,38378.34
2026-07-01 14:00:37,OP,1H,1H,1,BULLISH,NEUTRAL,bearish,neutral,D — Very low conviction,1735.1334
2026-07-01 14:00:37,PENGU,1H,1H,1,BULLISH,RANGING,bearish,neutral,D — Very low conviction,111.729618
2026-07-01 14:00:39,PEPE,1H,1H,1,BULLISH,NEUTRAL,bearish,neutral,D — Very low conviction,0.0414414
